"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1997","Mike Piazza","LAD","28",".362",".431",".638","1.070","556","201","104","40","124","5","66.9","9.1","893"
"2009","Joe Mauer","MIN","26",".365",".444",".587","1.031","523","191","94","28","96","4","50.8","8.4","1857"
"1993","Chris Hoiles","BAL","28",".310",".416",".585","1.001","419","130","80","29","82","1","41.0","7.0","1005935"
"1995","Mike Piazza","LAD","26",".346",".400",".606","1.006","434","150","82","32","93","1","40.9","6.0","893"
"2000","Mike Piazza","NYM","31",".324",".398",".614","1.012","482","156","90","38","113","4","39.4","5.8","893"
"2007","Jorge Posada","NYY","35",".338",".426",".543",".970","506","171","91","20","90","2","34.6","5.6","841"
"1996","Mike Piazza","LAD","27",".336",".422",".563",".985","547","184","87","36","105","0","50.2","6.6","893"
"1970","Dick Dietz","SFG","28",".300",".426",".515",".941","493","148","82","22","107","0","39.1","5.1","1003290"
"1972","Carlton Fisk","BOS","24",".293",".370",".538",".909","457","134","74","22","61","5","33.7","6.6","1004101"
"2012","Buster Posey","SFG","25",".336",".408",".549",".957","530","178","78","24","103","1","41.8","10.1","9166"
"1998","Mike Piazza","- - -","29",".328",".390",".570",".960","561","184","88","32","111","1","40.8","6.6","893"
"2000","Jorge Posada","NYY","28",".287",".417",".527",".943","505","145","92","28","86","2","33.3","6.1","841"
"1977","Carlton Fisk","BOS","29",".315",".402",".521",".922","536","169","106","26","102","7","31.9","7.6","1004101"
"1972","Johnny Bench","CIN","24",".270",".379",".541",".920","538","145","87","40","125","6","39.4","9.2","1000826"
"1993","Mike Piazza","LAD","24",".318",".370",".561",".932","547","174","81","35","112","3","36.3","7.4","893"
"1979","Darrell Porter","KCR","27",".291",".421",".484",".905","533","155","101","20","112","3","35.5","7.5","1010450"
"1970","Johnny Bench","CIN","22",".293",".345",".587",".932","605","177","97","45","148","5","37.3","7.9","1000826"
"1992","Darren Daulton","PHI","30",".270",".385",".524",".908","485","131","80","27","109","11","37.1","7.2","1003010"
"2003","Jorge Posada","NYY","31",".281",".405",".518",".922","481","135","83","30","101","2","28.4","6.0","841"
"1997","Todd Hundley","NYM","28",".273",".394",".549",".943","417","114","78","30","86","2","26.8","4.4","284"
"1970","Joe Torre","STL","29",".325",".398",".498",".896","624","203","89","21","100","2","33.1","6.0","1013133"
"2006","Joe Mauer","MIN","23",".347",".429",".507",".936","521","181","86","13","84","8","33.0","5.8","1857"
"1975","Ted Simmons","STL","25",".332",".396",".491",".887","581","193","80","18","100","1","32.6","5.7","1011986"
"2001","Mike Piazza","NYM","32",".300",".384",".573",".957","503","151","81","36","94","0","31.2","4.6","893"
"1979","Brian Downing","CAL","28",".326",".418",".462",".880","509","166","87","12","75","3","31.8","5.0","1003451"
"1975","Gene Tenace","OAK","28",".255",".395",".464",".859","498","127","83","29","87","7","37.0","5.6","1012911"
"1998","Jason Kendall","PIT","24",".327",".411",".473",".884","535","175","95","12","75","26","31.5","5.8","993"
"2000","Jason Kendall","PIT","26",".320",".412",".470",".882","579","185","112","14","58","22","24.0","4.8","993"
"1999","Mike Piazza","NYM","30",".303",".361",".575",".936","534","162","100","40","124","2","24.2","4.5","893"
"1977","Ted Simmons","STL","27",".318",".408",".500",".908","516","164","82","21","95","2","26.3","5.7","1011986"
"1982","Gary Carter","MON","28",".293",".381",".510",".890","557","163","91","29","97","2","34.9","8.4","1002015"
"1999","Ivan Rodriguez","TEX","27",".332",".356",".558",".914","600","199","116","35","113","25","20.9","6.8","1275"
"1991","Mickey Tettleton","DET","30",".263",".387",".491",".878","501","132","85","31","89","3","28.3","5.6","1012939"
"1974","Johnny Bench","CIN","26",".280",".363",".507",".870","621","174","108","33","129","5","33.7","8.0","1000826"
"1978","Ted Simmons","STL","28",".287",".377",".512",".889","516","148","71","22","80","1","29.2","5.9","1011986"
"2001","Paul Lo Duca","LAD","29",".320",".374",".543",".917","460","147","71","25","90","2","25.5","5.1","662"
"1975","Johnny Bench","CIN","27",".283",".359",".519",".878","530","150","83","28","110","11","29.9","6.8","1000826"
"1994","Mickey Tettleton","DET","33",".248",".419",".463",".882","339","84","57","17","51","0","16.7","1.4","1012939"
"2008","Brian McCann","ATL","24",".301",".373",".523",".896","509","153","68","23","87","5","20.5","8.6","4810"
"1999","Mike Lieberthal","PHI","27",".300",".363",".551",".914","510","153","84","31","96","0","18.0","4.2","959"
"1994","Mike Piazza","LAD","25",".319",".370",".541",".910","405","129","64","24","92","1","20.8","3.8","893"
"1983","Carlton Fisk","CHW","35",".289",".355",".518",".874","488","141","85","26","86","9","23.2","4.6","1004101"
"1980","Ted Simmons","STL","30",".303",".375",".505",".880","495","150","84","21","98","1","26.6","5.2","1011986"
"2004","Jorge Posada","NYY","32",".272",".400",".481",".881","449","122","72","21","81","1","16.3","4.1","841"
"2011","Alex Avila","DET","24",".295",".389",".506",".895","464","137","63","19","82","3","24.5","4.5","7476"
"2013","Joe Mauer","MIN","30",".324",".404",".476",".880","445","144","62","11","47","0","25.3","5.2","1857"
"1976","Gene Tenace","OAK","29",".249",".373",".458",".831","417","104","64","22","66","5","25.7","3.9","1012911"
"1993","Darren Daulton","PHI","31",".257",".392",".482",".875","510","131","90","24","105","5","26.2","5.3","1003010"
"1979","Gene Tenace","SDP","32",".263",".403",".445",".848","463","122","61","20","67","2","28.4","5.4","1012911"
"2004","Ivan Rodriguez","DET","32",".334",".383",".510",".893","527","176","72","19","86","7","22.0","4.7","1275"
"1977","Gary Carter","MON","23",".284",".356",".525",".881","522","148","86","31","84","5","24.7","5.3","1002015"
"2002","Mike Piazza","NYM","33",".280",".359",".544",".903","478","134","69","33","98","0","20.3","4.6","893"
"1977","Johnny Bench","CIN","29",".275",".348",".540",".889","494","136","67","31","109","2","21.0","4.9","1000826"
"2008","Joe Mauer","MIN","25",".328",".413",".451",".864","536","176","98","9","85","1","28.7","6.4","1857"
"1973","Thurman Munson","NYY","26",".301",".362",".487",".849","519","156","80","20","74","4","25.3","6.6","1009334"
"1982","Lance Parrish","DET","26",".284",".338",".529",".867","486","138","75","32","87","3","20.7","5.2","1010021"
"1996","Todd Hundley","NYM","27",".259",".356",".550",".906","540","140","85","41","112","1","25.3","4.7","284"
"2010","Joe Mauer","MIN","27",".327",".402",".469",".871","510","167","88","9","75","1","24.4","5.7","1857"
"1984","Gary Carter","MON","30",".294",".366",".487",".853","596","175","75","27","106","2","31.0","7.1","1002015"
"1975","Manny Sanguillen","PIT","31",".328",".391",".451",".842","481","158","60","9","58","6","20.6","4.7","1011434"
"1987","Matt Nokes","DET","23",".289",".345",".536",".880","461","133","69","32","87","2","19.9","3.4","1009615"
"2012","Joe Mauer","MIN","29",".319",".416",".446",".861","545","174","81","10","85","8","27.2","4.6","1857"
"2012","Yadier Molina","STL","29",".315",".373",".501",".874","505","159","65","22","76","12","20.9","7.7","7007"
"1978","Carlton Fisk","BOS","30",".284",".366",".475",".841","571","162","94","20","88","7","21.7","5.7","1004101"
"2004","Jason Varitek","BOS","32",".296",".390",".482",".872","463","137","67","18","73","10","15.5","4.1","217"
"1992","Mickey Tettleton","DET","31",".238",".379",".469",".848","525","125","82","32","83","0","22.2","5.0","1012939"
"2009","Victor Martinez","- - -","30",".303",".381",".480",".861","588","178","88","23","108","1","19.6","2.7","393"
"1993","Mickey Tettleton","DET","32",".245",".372",".492",".864","522","128","79","32","110","3","19.1","2.5","1012939"
"1998","Ivan Rodriguez","TEX","26",".321",".358",".513",".871","579","186","88","21","91","9","17.2","6.4","1275"
"1977","Gene Tenace","SDP","30",".233",".415",".410",".824","437","102","66","15","61","5","24.6","4.6","1012911"
"2006","Jorge Posada","NYY","34",".277",".374",".492",".867","465","129","65","23","93","3","13.1","4.3","841"
"1969","Johnny Bench","CIN","21",".293",".353",".487",".840","532","156","83","26","90","6","16.8","5.3","1000826"
"2007","Victor Martinez","CLE","28",".301",".374",".505",".879","562","169","78","25","114","0","20.8","5.4","393"
"2004","Javy Lopez","BAL","33",".316",".370",".503",".872","579","183","83","23","86","0","18.7","4.4","103"
"2008","Geovany Soto","CHC","25",".285",".364",".504",".868","494","141","66","23","86","0","11.3","3.0","3707"
"1973","Joe Ferguson","LAD","26",".263",".369",".470",".839","487","128","84","25","88","1","24.4","4.9","1003990"
"2014","Buster Posey","SFG","27",".311",".364",".490",".854","547","170","72","22","89","0","25.4","7.6","9166"
"1979","Ted Simmons","STL","29",".283",".369",".507",".875","448","127","68","26","87","0","18.3","3.9","1011986"
"1990","Carlton Fisk","CHW","42",".285",".378",".451",".829","452","129","65","18","65","7","19.8","5.0","1004101"
"1985","Gary Carter","NYM","31",".281",".365",".488",".853","555","156","83","32","100","1","27.4","6.7","1002015"
"2006","Victor Martinez","CLE","27",".316",".391",".465",".856","572","181","82","16","93","0","9.3","2.8","393"
"1996","Terry Steinbach","OAK","34",".272",".342",".529",".871","514","140","79","35","100","0","12.8","3.9","1012473"
"1985","Mike Scioscia","LAD","26",".296",".407",".420",".826","429","127","47","7","53","3","23.0","5.5","1011667"
"2005","Jason Varitek","BOS","33",".281",".366",".489",".856","470","132","70","22","70","2","13.6","3.5","217"
"1997","Jason Kendall","PIT","23",".294",".391",".434",".825","486","143","71","8","49","18","15.0","4.5","993"
"1971","Dick Dietz","SFG","29",".252",".387",".419",".806","453","114","58","19","72","1","18.9","4.0","1003290"
"2007","Russell Martin","LAD","24",".293",".374",".469",".843","540","158","87","19","87","21","18.3","5.5","4616"
"2014","Jonathan Lucroy","MIL","28",".301",".373",".465",".837","585","176","73","13","69","4","22.3","8.2","7870"
"1998","Javy Lopez","ATL","27",".284",".328",".540",".868","489","139","73","34","106","5","15.4","3.8","103"
"1978","Gene Tenace","SDP","31",".224",".392",".409",".801","401","90","60","16","61","6","21.1","4.8","1012911"
"2017","Gary Sanchez","NYY","24",".278",".345",".531",".876","471","131","79","33","90","2","18.6","4.3","11442"
"1985","Rich Gedman","BOS","25",".295",".362",".484",".846","498","147","66","18","80","2","17.1","5.6","1004592"
"2005","Victor Martinez","CLE","26",".305",".378",".475",".853","547","167","73","20","80","0","16.6","4.7","393"
"1995","Mike Stanley","NYY","32",".268",".360",".481",".841","399","107","63","18","83","1","11.7","3.1","1012416"
"1971","Bill Freehan","DET","29",".277",".353",".465",".818","516","143","57","21","71","2","16.1","4.9","1004315"
"2017","Buster Posey","SFG","30",".320",".400",".462",".861","494","158","62","12","67","6","18.8","4.7","9166"
"1997","Ivan Rodriguez","TEX","25",".313",".360",".484",".844","597","187","98","20","77","7","11.3","6.2","1275"
"1971","Earl Williams","ATL","22",".260",".324",".491",".815","497","129","64","33","87","0","13.6","3.0","1013995"
"1994","Ivan Rodriguez","TEX","22",".298",".360",".488",".848","363","108","56","16","57","6","6.5","3.0","1275"
"2010","Victor Martinez","BOS","31",".302",".351",".493",".844","493","149","64","20","79","1","11.4","3.7","393"
"2013","Carlos Santana","CLE","27",".268",".377",".455",".832","541","145","75","20","74","3","21.6","2.3","2396"
"2012","Miguel Montero","ARI","28",".286",".391",".438",".829","486","139","65","15","88","0","10.7","5.6","3364"
"2003","Jason Varitek","BOS","31",".273",".351",".512",".863","451","123","63","25","85","3","10.3","3.8","217"
"1980","Carlton Fisk","BOS","32",".289",".353",".467",".819","478","138","73","18","62","11","11.4","3.8","1004101"
"2003","Jason Kendall","PIT","29",".325",".399",".416",".815","587","191","84","6","58","8","14.1","4.2","993"
"2015","Buster Posey","SFG","28",".318",".379",".470",".849","557","177","74","19","95","2","23.8","6.8","9166"
"1979","Johnny Bench","CIN","31",".276",".364",".459",".824","464","128","73","22","80","4","15.9","5.2","1000826"
"2003","Ivan Rodriguez","FLA","31",".297",".369",".474",".843","511","152","90","16","85","10","15.8","4.5","1275"
"1980","Lance Parrish","DET","24",".286",".325",".499",".825","553","158","79","24","82","6","14.2","3.9","1010021"
"1984","Bob Brenly","SFG","30",".291",".352",".464",".816","506","147","74","20","80","6","18.7","3.8","1001386"
"2013","Yadier Molina","STL","30",".319",".359",".477",".836","505","161","68","12","80","3","17.5","7.8","7007"
"1977","Joe Ferguson","HOU","30",".257",".379",".435",".814","421","108","59","16","61","6","18.4","4.6","1003990"
"1994","Chris Hoiles","BAL","29",".247",".371",".449",".820","332","82","45","19","53","2","7.5","3.3","1005935"
"2010","Brian McCann","ATL","26",".269",".375",".453",".828","479","129","63","21","77","5","9.4","6.7","4810"
"2016","Jonathan Lucroy","- - -","30",".292",".355",".500",".855","490","143","67","24","81","5","14.5","4.6","7870"
"2002","Jorge Posada","NYY","30",".268",".370",".468",".837","511","137","79","20","99","1","11.8","4.2","841"
"2016","Wilson Ramos","WSN","28",".307",".354",".496",".850","482","148","58","22","80","0","8.1","3.6","1433"
"1974","Gene Tenace","OAK","27",".211",".367",".411",".778","484","102","71","26","73","2","20.3","4.5","1012911"
"2003","Mike Lieberthal","PHI","31",".313",".373",".453",".825","508","159","68","13","81","0","9.5","3.1","959"
"2019","Yasmani Grandal","MIL","30",".246",".380",".468",".848","513","126","79","28","77","5","13.1","5.3","11368"
"2020","J.T. Realmuto","PHI","29",".266",".349",".491",".840","173","46","33","11","32","4","8.3","1.7","11739"
"1970","Thurman Munson","NYY","23",".302",".386",".415",".801","453","137","59","6","53","5","15.3","5.0","1009334"
"1994","Mike Macfarlane","KCR","30",".255",".359",".462",".821","314","80","53","14","47","1","6.0","1.5","1007905"
"1979","Gary Carter","MON","25",".283",".338",".485",".823","505","143","74","22","75","3","16.0","5.9","1002015"
"2009","Brian McCann","ATL","25",".281",".349",".486",".834","488","137","63","21","94","4","8.3","6.3","4810"
"2004","Victor Martinez","CLE","25",".283",".359",".492",".851","520","147","77","23","108","0","8.4","3.3","393"
"1972","Earl Williams","ATL","23",".258",".336",".457",".793","565","146","72","28","87","0","13.2","2.5","1013995"
"1975","Thurman Munson","NYY","28",".318",".366",".429",".795","597","190","83","12","102","3","18.7","5.6","1009334"
"1975","Darrell Porter","MIL","23",".232",".371",".418",".789","409","95","66","18","60","2","12.2","3.6","1010450"
"1972","Ted Simmons","STL","22",".303",".336",".465",".801","594","180","70","16","96","1","15.9","4.9","1011986"
"1973","Ted Simmons","STL","23",".310",".370",".438",".808","619","192","62","13","91","2","17.3","5.8","1011986"
"2004","Johnny Estrada","ATL","28",".314",".378",".450",".828","462","145","56","9","76","0","5.1","2.7","955"
"2013","Buster Posey","SFG","26",".294",".371",".450",".821","520","153","61","15","72","2","19.3","6.9","9166"
"2001","Jorge Posada","NYY","29",".277",".363",".475",".838","484","134","59","22","95","2","11.6","3.5","841"
"1977","Thurman Munson","NYY","30",".308",".351",".462",".813","595","183","85","18","100","5","16.2","4.4","1009334"
"1978","Darrell Porter","KCR","26",".265",".358",".444",".802","520","138","77","18","78","0","12.8","4.4","1010450"
"1980","Gary Carter","MON","26",".264",".331",".486",".818","549","145","76","29","101","3","16.7","6.0","1002015"
"2004","Jason Kendall","PIT","30",".319",".399",".390",".789","574","183","86","3","51","11","11.6","4.5","993"
"1979","Lance Parrish","DET","23",".276",".343",".456",".800","493","136","65","19","65","6","7.1","4.2","1010021"
"1996","Benito Santiago","PHI","31",".264",".332",".503",".835","481","127","71","30","85","2","9.2","2.6","1130"
"1975","Gary Carter","MON","21",".270",".360",".416",".776","503","136","58","17","68","5","9.0","3.2","1002015"
"1978","John Stearns","NYM","26",".264",".364",".413",".777","477","126","65","15","73","25","15.9","5.6","1012446"
"2018","J.T. Realmuto","MIA","27",".277",".340",".484",".825","477","132","74","21","74","3","22.1","4.9","11739"
"1980","John Wathan","KCR","30",".305",".377",".406",".783","453","138","57","6","58","17","11.6","2.7","1013666"
"2011","Yadier Molina","STL","28",".305",".349",".465",".814","475","145","55","14","65","4","9.1","5.9","7007"
"2011","Miguel Montero","ARI","27",".282",".351",".469",".820","493","139","65","18","86","1","5.4","5.9","3364"
"1982","Terry Kennedy","SDP","26",".295",".328",".486",".814","562","166","75","21","97","1","19.1","4.6","1006850"
"1983","Ted Simmons","MIL","33",".308",".351",".448",".799","600","185","76","13","108","4","16.6","3.7","1011986"
"1990","Lance Parrish","CAL","34",".268",".338",".451",".789","470","126","54","24","70","2","12.8","4.6","1010021"
"2006","Ramon Hernandez","BAL","30",".275",".343",".479",".822","501","138","66","23","91","1","5.5","4.1","918"
"2018","Yasmani Grandal","LAD","29",".241",".349",".466",".815","440","106","65","24","68","2","9.5","4.7","11368"
"2000","Javy Lopez","ATL","29",".287",".337",".484",".822","481","138","60","24","89","0","3.0","2.8","103"
"2012","A.J. Pierzynski","CHW","35",".278",".326",".501",".827","479","133","68","27","77","0","9.5","3.3","746"
"2011","Carlos Santana","CLE","25",".239",".351",".457",".808","552","132","84","27","79","5","15.9","0.3","2396"
"1983","Darrell Porter","STL","31",".262",".363",".431",".794","443","116","57","15","66","1","11.2","4.2","1010450"
"1990","Darren Daulton","PHI","28",".268",".367",".416",".783","459","123","62","12","57","7","10.8","4.4","1003010"
"2003","A.J. Pierzynski","MIN","26",".312",".360",".464",".824","487","152","63","11","74","3","8.8","3.6","746"
"1990","Mickey Tettleton","BAL","29",".223",".376",".381",".756","444","99","68","15","51","2","12.0","2.9","1012939"
"1996","Ivan Rodriguez","TEX","24",".300",".342",".473",".814","639","192","116","19","86","5","-0.4","5.6","1275"
"2011","Brian McCann","ATL","27",".270",".351",".466",".817","466","126","51","24","71","3","9.3","6.9","4810"
"1999","Brad Ausmus","DET","30",".275",".365",".415",".779","458","126","62","9","54","12","-0.1","3.3","546"
"2008","Russell Martin","LAD","25",".280",".385",".396",".781","553","155","87","13","69","18","11.2","7.9","4616"
"1985","Lance Parrish","DET","29",".273",".323",".479",".802","549","150","64","28","98","2","11.0","4.1","1010021"
"1976","Thurman Munson","NYY","29",".302",".337",".432",".769","616","186","79","17","105","14","16.6","4.6","1009334"
"2004","Michael Barrett","CHC","27",".287",".337",".489",".826","456","131","55","16","65","1","2.0","2.3","762"
"1985","Carlton Fisk","CHW","37",".238",".320",".488",".808","543","129","85","37","107","17","8.3","3.4","1004101"
"1999","Jason Varitek","BOS","27",".269",".330",".482",".813","483","130","70","20","76","1","-0.1","2.2","217"
"2002","Mike Lieberthal","PHI","30",".279",".349",".443",".792","476","133","46","15","52","0","3.9","3.1","959"
"1983","Jody Davis","CHC","26",".271",".315",".480",".795","510","138","56","24","84","0","5.5","2.6","1003060"
"1974","Ted Simmons","STL","24",".272",".327",".447",".774","599","163","66","20","103","0","9.7","4.1","1011986"
"1976","Carlton Fisk","BOS","28",".255",".336",".415",".751","487","124","76","17","58","12","7.7","4.2","1004101"
"1971","Ted Simmons","STL","21",".304",".347",".424",".771","510","155","64","7","77","1","9.8","3.8","1011986"
"2020","Christian Vazquez","BOS","29",".283",".344",".457",".801","173","49","22","7","23","4","0.8","1.4","9774"
"1976","Ted Simmons","STL","26",".291",".371",".394",".765","546","159","60","5","75","0","6.9","3.8","1011986"
"2007","Jason Varitek","BOS","35",".255",".367",".421",".787","435","111","57","17","68","1","2.1","2.6","217"
"2013","Jonathan Lucroy","MIL","27",".280",".340",".455",".795","521","146","59","18","82","9","4.1","7.0","7870"
"1977","John Stearns","NYM","25",".251",".370",".397",".767","431","108","52","12","55","9","7.8","3.7","1012446"
"1983","Lance Parrish","DET","27",".269",".314",".483",".796","605","163","80","27","114","1","9.3","4.9","1010021"
"1982","Bo Diaz","PHI","29",".288",".333",".450",".782","525","151","69","18","85","3","8.4","3.9","1003261"
"1976","Johnny Bench","CIN","28",".234",".348",".394",".741","465","109","62","16","74","13","9.3","4.8","1000826"
"2012","Carlos Santana","CLE","26",".252",".365",".420",".785","507","128","72","18","76","3","5.9","0.0","2396"
"2004","Mike Piazza","NYM","35",".266",".362",".444",".806","455","121","47","20","54","0","-1.9","0.5","893"
"1970","Manny Sanguillen","PIT","26",".325",".344",".444",".788","486","158","63","7","61","2","4.1","3.8","1011434"
"1983","Gary Carter","MON","29",".270",".336",".444",".780","541","146","63","17","79","1","11.3","6.8","1002015"
"1973","Johnny Bench","CIN","25",".253",".345",".429",".774","557","141","83","25","104","4","12.1","4.9","1000826"
"2006","Paul Lo Duca","NYM","34",".318",".355",".428",".783","512","163","80","5","49","3","0.2","2.5","662"
"2016","Yadier Molina","STL","33",".307",".360",".427",".787","534","164","56","8","58","3","2.3","3.5","7007"
"1981","Milt May","SFG","30",".310",".376",".383",".759","316","98","20","2","33","1","5.3","1.7","1008304"
"2012","A.J. Ellis","LAD","31",".270",".373",".414",".786","423","114","44","13","52","0","7.1","2.5","5677"
"1971","Manny Sanguillen","PIT","27",".319",".345",".426",".771","533","170","60","7","81","6","10.0","5.0","1011434"
"1974","John Ellis","CLE","25",".285",".330",".421",".751","477","136","58","10","64","1","7.6","2.1","1003750"
"2016","Buster Posey","SFG","29",".288",".362",".434",".796","539","155","82","14","80","6","7.3","6.7","9166"
"2005","Jorge Posada","NYY","33",".262",".352",".430",".782","474","124","67","19","71","1","5.5","3.3","841"
"1977","Jim Sundberg","TEX","26",".291",".365",".389",".753","453","132","61","6","65","2","5.9","4.7","1012724"
"1983","Tony Pena","PIT","26",".301",".338",".435",".773","542","163","51","15","70","6","5.9","3.8","1010153"
"2010","Mike Napoli","LAA","28",".238",".316",".468",".784","453","108","60","26","68","4","7.5","2.1","3057"
"2015","Francisco Cervelli","PIT","29",".295",".370",".401",".771","451","133","56","7","43","1","9.4","5.9","5275"
"1981","Brian Downing","CAL","30",".249",".351",".379",".730","317","79","47","9","41","1","7.3","1.3","1003451"
"1987","Benito Santiago","SDP","22",".300",".324",".467",".791","546","164","64","18","79","21","5.0","3.1","1130"
"2015","Russell Martin","TOR","32",".240",".329",".458",".787","441","106","76","23","77","4","4.1","4.5","4616"
"2014","Yan Gomes","CLE","26",".278",".313",".472",".785","485","135","61","21","74","0","10.5","5.1","9627"
"2003","Ramon Hernandez","OAK","27",".273",".331",".458",".789","483","132","70","21","78","0","3.0","3.3","918"
"2005","Joe Mauer","MIN","22",".294",".372",".411",".783","489","144","61","9","55","13","8.2","3.4","1857"
"2011","Matt Wieters","BAL","25",".262",".328",".450",".778","500","131","72","22","68","1","3.1","5.7","4298"
"2019","J.T. Realmuto","PHI","28",".275",".328",".493",".820","538","148","92","25","83","9","12.0","5.7","11739"
"1984","Ozzie Virgil","PHI","27",".261",".331",".434",".765","456","119","61","18","68","1","7.7","3.2","1013439"
